TITLE	PATCHED_SIBLING_SERIALS	UNPATCHED_NTSC_SERIALS
X-Men Legends II - Rise of Apocalypse	SLES-53377(PAL-I-S)	SLUS-21138(NTSC-U)
kill.switch	SCES-52124(PAL-M5)	SLUS-20706(NTSC-U)
サルゲッチュ2 ウッキーウッキーディスク	SCKA-20044(NTSC-K); SCPS-15090(NTSC-J); SLPM-55147(NTSC-J); SLPS-25007(NTSC-J); SLPS-25033(NTSC-J); SLPS-25040(NTSC-J); SLPS-25141(NTSC-J); SLPS-25172(NTSC-J)	PAPX-90330(NTSC-J); PAPX-90516(NTSC-J); PCPX-96320(NTSC-J); SCAJ-20052(NTSC-J); SCAJ-20132(NTSC-J); SCAJ-20171(NTSC-J); SCKA-20002(NTSC-K); SCKA-20014(NTSC-K); SCKA-20041(NTSC-K); SCKA-20074(NTSC-K); SCKA-20079(NTSC-K); SCKA-20134(NTSC-K); SCPS-11034(NTSC-J); SCPS-15017(NTSC-J); SCPS-15025(NTSC-J); SCPS-15026(NTSC-J); SCPS-15045(NTSC-J); SCPS-15056(NTSC-J); SCPS-15057(NTSC-J); SCPS-15089(NTSC-J); SCPS-15094(NTSC-J); SCPS-19152(NTSC-J); SCPS-19201(NTSC-J); SCPS-19206(NTSC-J); SCPS-19209(NTSC-J); SCPS-19302(NTSC-J); SCPS-19303(NTSC-J); SCPS-19308(NTSC-J); SCPS-19317(NTSC-J); SCPS-51015(NTSC-J); SCPS-55013(NTSC-J); SCPS-55020(NTSC-J); SCPS-55024(NTSC-J); SCPS-55035(NTSC-J); SCPS-55038(NTSC-J); SCPS-55050(NTSC-J); SLKA-15033(NTSC-K); SLKA-25009(NTSC-K); SLKA-25012(NTSC-K); SLKA-25013(NTSC-K); SLKA-25020(NTSC-K); SLKA-25039(NTSC-K); SLKA-25052(NTSC-K); SLKA-25088(NTSC-K); SLKA-25114(NTSC-K); SLKA-25146(NTSC-K); SLKA-25155(NTSC-K); SLKA-25241(NTSC-K); SLKA-25242(NTSC-K); SLKA-25272(NTSC-K); SLKA-25280(NTSC-K); SLKA-25281(NTSC-K); SLKA-25330(NTSC-K); SLKA-25374(NTSC-K); SLKA-35001(NTSC-K); SLPM-55005(NTSC-J); SLPM-55034(NTSC-J); SLPM-55035(NTSC-J); SLPM-55056(NTSC-J); SLPM-55058(NTSC-J); SLPM-55081(NTSC-J); SLPM-55110(NTSC-J); SLPM-55122(NTSC-J); SLPM-55217(NTSC-J); SLPM-55229(NTSC-J); SLPM-55230(NTSC-J); SLPM-55242(NTSC-J); SLPM-55250(NTSC-J); SLPM-55277(NTSC-J); SLPM-55278(NTSC-J); SLPM-60106(NTSC-J); SLPM-60138(NTSC-J); SLPM-60171(NTSC-J); SLPM-60177(NTSC-J); SLPM-60250(NTSC-J); SLPM-60253(NTSC-J); SLPM-60254(NTSC-J); SLPM-60273(NTSC-J); SLPM-60274(NTSC-J); SLPM-61009(NTSC-J); SLPM-61011(NTSC-J); SLPM-61013(NTSC-J); SLPM-61020(NTSC-J); SLPM-61087(NTSC-J); SLPM-61094(NTSC-J); SLPM-61120(NTSC-J); SLPM-61139(NTSC-J); SLPM-61154(NTSC-J); SLPM-61163(NTSC-J); SLPM-62004(NTSC-J); SLPM-62042(NTSC-J); SLPM-62048(NTSC-J); SLPM-62156(NTSC-J); SLPM-62229(NTSC-J); SLPM-62236(NTSC-J); SLPM-62242(NTSC-J); SLPM-62265(NTSC-J); SLPM-62285(NTSC-J); SLPM-62291(NTSC-J); SLPM-62312(NTSC-J); SLPM-62331(NTSC-J); SLPM-62394(NTSC-J); SLPM-62531(NTSC-J); SLPM-62562(NTSC-J); SLPM-62624(NTSC-J); SLPM-62679(NTSC-J); SLPM-62680(NTSC-J); SLPM-62701(NTSC-J); SLPM-62764(NTSC-J); SLPM-62769(NTSC-J); SLPM-64510(NTSC-K); SLPM-64550(NTSC-K); SLPM-65030(NTSC-J); SLPM-65051(NTSC-J); SLPM-65053(NTSC-J); SLPM-65060(NTSC-J); SLPM-65083(NTSC-J); SLPM-65091(NTSC-J); SLPM-65092(NTSC-J); SLPM-65098(NTSC-J); SLPM-65100(NTSC-J); SLPM-65101(NTSC-J); SLPM-65118(NTSC-J); SLPM-65133(NTSC-J); SLPM-65143(NTSC-J); SLPM-65146(NTSC-J); SLPM-65170(NTSC-J); SLPM-65210(NTSC-J); SLPM-65211(NTSC-J); SLPM-65215(NTSC-J); SLPM-65240(NTSC-J); SLPM-65247(NTSC-J); SLPM-65267(NTSC-J); SLPM-65273(NTSC-J); SLPM-65311(NTSC-J); SLPM-65318(NTSC-J); SLPM-65325(NTSC-J); SLPM-65330(NTSC-J); SLPM-65341(NTSC-J); SLPM-65347(NTSC-J); SLPM-65348(NTSC-J); SLPM-65354(NTSC-J); SLPM-65458(NTSC-J); SLPM-65474(NTSC-J); SLPM-65478(NTSC-J); SLPM-65536(NTSC-J); SLPM-65595(NTSC-J); SLPM-65620(NTSC-J); SLPM-65631(NTSC-J); SLPM-65636(NTSC-J); SLPM-65637(NTSC-J); SLPM-65662(NTSC-J); SLPM-65683(NTSC-J); SLPM-65697(NTSC-J); SLPM-65708(NTSC-J); SLPM-65720(NTSC-J); SLPM-65766(NTSC-J); SLPM-65824(NTSC-J); SLPM-65833(NTSC-J); SLPM-65929(NTSC-J); SLPM-65951(NTSC-J); SLPM-65978(NTSC-J); SLPM-65982(NTSC-J); SLPM-65985(NTSC-J); SLPM-65999(NTSC-J); SLPM-66004(NTSC-J); SLPM-66051(NTSC-J); SLPM-66072(NTSC-J); SLPM-66094(NTSC-J); SLPM-66096(NTSC-J); SLPM-66104(NTSC-J); SLPM-66125(NTSC-J); SLPM-66163(NTSC-J); SLPM-66194(NTSC-J); SLPM-66206(NTSC-J); SLPM-66240(NTSC-J); SLPM-66266(NTSC-J); SLPM-66288(NTSC-J); SLPM-66300(NTSC-J); SLPM-66303(NTSC-J); SLPM-66304(NTSC-J); SLPM-66307(NTSC-J); SLPM-66321(NTSC-J); SLPM-66355(NTSC-J); SLPM-66419(NTSC-J); SLPM-66427(NTSC-J); SLPM-66497(NTSC-J); SLPM-66504(NTSC-J); SLPM-66505(NTSC-J); SLPM-66527(NTSC-J); SLPM-66531(NTSC-J); SLPM-66532(NTSC-J); SLPM-66573(NTSC-J); SLPM-66602(NTSC-J); SLPM-66603(NTSC-J); SLPM-66622(NTSC-J); SLPM-66651(NTSC-J); SLPM-66654(NTSC-J); SLPM-66656(NTSC-J); SLPM-66664(NTSC-J); SLPM-66678(NTSC-J); SLPM-66685(NTSC-J); SLPM-66699(NTSC-J); SLPM-66700(NTSC-J); SLPM-66714(NTSC-J); SLPM-66749(NTSC-J); SLPM-66782(NTSC-J); SLPM-66818(NTSC-J); SLPM-66821(NTSC-J); SLPM-66824(NTSC-J); SLPM-66825(NTSC-J); SLPM-66834(NTSC-J); SLPM-66835(NTSC-J); SLPM-66838(NTSC-J); SLPM-66840(NTSC-J); SLPM-66866(NTSC-J); SLPM-66875(NTSC-J); SLPM-66960(NTSC-J); SLPM-66972(NTSC-J); SLPM-66992(NTSC-J); SLPM-67014(NTSC-J); SLPM-67516(NTSC-K); SLPM-67518(NTSC-K); SLPM-67523(NTSC-K); SLPM-67527(NTSC-K); SLPM-67536(NTSC-K); SLPM-67550(NTSC-K); SLPM-74101(NTSC-J); SLPM-74209(NTSC-J); SLPM-74245(NTSC-J); SLPM-74247(NTSC-J); SLPM-74276(NTSC-J); SLPM-74301(NTSC-J); SLPM-74302(NTSC-J); SLPM-74409(NTSC-J); SLPM-74412(NTSC-J); SLPS-20002(NTSC-J); SLPS-20017(NTSC-J); SLPS-20039(NTSC-J); SLPS-20060(NTSC-J); SLPS-20077(NTSC-J); SLPS-20091(NTSC-J); SLPS-20110(NTSC-J); SLPS-20122(NTSC-J); SLPS-20294(NTSC-J); SLPS-20326(NTSC-J); SLPS-20393(NTSC-J); SLPS-20398(NTSC-J); SLPS-20404(NTSC-J); SLPS-20457(NTSC-J); SLPS-20501(NTSC-J); SLPS-25054(NTSC-J); SLPS-25070(NTSC-J); SLPS-25085(NTSC-J); SLPS-25098(NTSC-J); SLPS-25107(NTSC-J); SLPS-25132(NTSC-J); SLPS-25135(NTSC-J); SLPS-25227(NTSC-J); SLPS-25228(NTSC-J); SLPS-25236(NTSC-J); SLPS-25250(NTSC-J); SLPS-25299(NTSC-J); SLPS-25351(NTSC-J); SLPS-25361(NTSC-J); SLPS-25396(NTSC-J); SLPS-25463(NTSC-J); SLPS-25479(NTSC-J); SLPS-25493(NTSC-J); SLPS-25521(NTSC-J); SLPS-25606(NTSC-J); SLPS-25607(NTSC-J); SLPS-25608(NTSC-J); SLPS-25615(NTSC-J); SLPS-25639(NTSC-J); SLPS-25731(NTSC-J); SLPS-25748(NTSC-J); SLPS-25749(NTSC-J); SLPS-25819(NTSC-J); SLPS-25845(NTSC-J); SLPS-25848(NTSC-J); SLPS-25851(NTSC-J); SLPS-25881(NTSC-J); SLPS-25896(NTSC-J); SLPS-25977(NTSC-J); SLPS-72502(NTSC-J); SLPS-73001(NTSC-J); SLPS-73006(NTSC-J); SLPS-73007(NTSC-J); SLPS-73106(NTSC-J); SLPS-73108(NTSC-J); SLPS-73206(NTSC-J); SLPS-73219(NTSC-J); SLPS-73254(NTSC-J); SLPS-73258(NTSC-J); SLPS-73263(NTSC-J); SLPS-73403(NTSC-J); SLPS-73411(NTSC-J); SLPS-73413(NTSC-J); TCPS-10086(NTSC-J); TCPS-10092(NTSC-J); TCPS-10150(NTSC-J)
ストリートファイターEX3 [体験版]	SLPS-20003(NTSC-J)	SLPM-60105(NTSC-J)
スペースチャンネル5 パート2	SLPM-65096(NTSC-J)	SLPM-74044(NTSC-J)
ラチェット&クランク3 突撃！ガラクチック★レンジャーズ [店頭体験版]	SCKA-20063(NTSC-K); SCPS-15096(NTSC-J); SLKA-25078(NTSC-K); SLPM-62055(NTSC-J); SLPM-65434(NTSC-J); SLPS-25112(NTSC-J); SLPS-25169(NTSC-J); SLPS-25209(NTSC-J)	PCPX-96653(NTSC-J); PCPX-96657(NTSC-J); SCKA-20015(NTSC-K); SCKA-20035(NTSC-K); SCKA-20040(NTSC-K); SCKA-20066(NTSC-K); SCKA-20067(NTSC-K); SCKA-20099(NTSC-K); SCKA-20111(NTSC-K); SCPS-15084(NTSC-J); SCPS-19309(NTSC-J); SCPS-19311(NTSC-J); SCPS-19327(NTSC-J); SCPS-51013(NTSC-J); SCPS-55014(NTSC-J); SCPS-56007(NTSC-K); SLKA-25049(NTSC-K); SLKA-25051(NTSC-K); SLKA-25064(NTSC-K); SLKA-25065(NTSC-K); SLKA-25085(NTSC-K); SLKA-25093(NTSC-K); SLKA-25173(NTSC-K); SLKA-25196(NTSC-K); SLKA-25206(NTSC-K); SLKA-25265(NTSC-K); SLKA-25317(NTSC-K); SLKA-25363(NTSC-K); SLKA-25373(NTSC-K); SLKA-25385(NTSC-K); SLPM-55039(NTSC-J); SLPM-55040(NTSC-J); SLPM-55062(NTSC-J); SLPM-55145(NTSC-J); SLPM-55248(NTSC-J); SLPM-60136(NTSC-J); SLPM-60140(NTSC-J); SLPM-60147(NTSC-J); SLPM-60154(NTSC-J); SLPM-60169(NTSC-J); SLPM-60172(NTSC-J); SLPM-60217(NTSC-J); SLPM-60246(NTSC-J); SLPM-61026(NTSC-J); SLPM-61086(NTSC-J); SLPM-62087(NTSC-J); SLPM-62112(NTSC-J); SLPM-62133(NTSC-J); SLPM-62199(NTSC-J); SLPM-62273(NTSC-J); SLPM-62322(NTSC-J); SLPM-62498(NTSC-J); SLPM-62601(NTSC-J); SLPM-62643(NTSC-J); SLPM-62763(NTSC-J); SLPM-64552(NTSC-K); SLPM-65080(NTSC-J); SLPM-65116(NTSC-J); SLPM-65139(NTSC-J); SLPM-65221(NTSC-J); SLPM-65230(NTSC-J); SLPM-65248(NTSC-J); SLPM-65257(NTSC-J); SLPM-65299(NTSC-J); SLPM-65377(NTSC-J); SLPM-65413(NTSC-J); SLPM-65420(NTSC-J); SLPM-65561(NTSC-J); SLPM-65584(NTSC-J); SLPM-65622(NTSC-J); SLPM-65641(NTSC-J); SLPM-65693(NTSC-J); SLPM-65700(NTSC-J); SLPM-65719(NTSC-J); SLPM-65731(NTSC-J); SLPM-65764(NTSC-J); SLPM-65765(NTSC-J); SLPM-65834(NTSC-J); SLPM-65837(NTSC-J); SLPM-65850(NTSC-J); SLPM-65853(NTSC-J); SLPM-65900(NTSC-J); SLPM-65906(NTSC-J); SLPM-65958(NTSC-J); SLPM-66005(NTSC-J); SLPM-66016(NTSC-J); SLPM-66018(NTSC-J); SLPM-66073(NTSC-J); SLPM-66075(NTSC-J); SLPM-66099(NTSC-J); SLPM-66100(NTSC-J); SLPM-66262(NTSC-J); SLPM-66305(NTSC-J); SLPM-66306(NTSC-J); SLPM-66344(NTSC-J); SLPM-66345(NTSC-J); SLPM-66346(NTSC-J); SLPM-66347(NTSC-J); SLPM-66348(NTSC-J); SLPM-66364(NTSC-J); SLPM-66445(NTSC-J); SLPM-66452(NTSC-J); SLPM-66522(NTSC-J); SLPM-66592(NTSC-J); SLPM-66593(NTSC-J); SLPM-66653(NTSC-J); SLPM-66657(NTSC-J); SLPM-66688(NTSC-J); SLPM-66689(NTSC-J); SLPM-66690(NTSC-J); SLPM-66759(NTSC-J); SLPM-66887(NTSC-J); SLPM-66962(NTSC-J); SLPM-67529(NTSC-K); SLPM-68012(NTSC-J); SLPM-68504(NTSC-J); SLPM-74215(NTSC-J); SLPM-74216(NTSC-J); SLPM-74217(NTSC-J); SLPM-74220(NTSC-J); SLPM-74277(NTSC-J); SLPM-74416(NTSC-J); SLPM-83770(NTSC-J); SLPS-20082(NTSC-J); SLPS-20099(NTSC-J); SLPS-20104(NTSC-J); SLPS-25038(NTSC-J); SLPS-25045(NTSC-J); SLPS-25083(NTSC-J); SLPS-25087(NTSC-J); SLPS-25213(NTSC-J); SLPS-25267(NTSC-J); SLPS-25281(NTSC-J); SLPS-25289(NTSC-J); SLPS-25290(NTSC-J); SLPS-25315(NTSC-J); SLPS-25336(NTSC-J); SLPS-25337(NTSC-J); SLPS-25428(NTSC-J); SLPS-25537(NTSC-J); SLPS-25592(NTSC-J); SLPS-25732(NTSC-J); SLPS-25823(NTSC-J); SLPS-25840(NTSC-J); SLPS-25890(NTSC-J); SLPS-73003(NTSC-J); SLPS-73102(NTSC-J); SLPS-73109(NTSC-J); SLPS-73211(NTSC-J); SLPS-73238(NTSC-J); SLPS-73409(NTSC-J); SLPS-73417(NTSC-J); SLPS-73420(NTSC-J)
レーシングバトル -C1 GRAND PRIX- [体験版]	SLPM-65897(NTSC-J)	SLPM-61115(NTSC-J)
一騎当千 Shining Dragon [限定爆裂パック]	SLPS-25798(NTSC-J)	SLPS-25797(NTSC-J); SLPS-25882(NTSC-J)
冬のオススメソフト おためしDISC	SCPM-85101(NTSC-J)	PAPX-90514(NTSC-J)
影牢Ⅱ -Dark illusion-	SLPS-25445(NTSC-J)	SLPS-73248(NTSC-J); SLPS-73265(NTSC-J)
格斗擂台4 进化版	SLPM-65270(NTSC-J)	SCKA-20057(NTSC-K); SCKA-20101(NTSC-K); SCKA-20105(NTSC-K); SCKA-20132(NTSC-K); SCKA-20141(NTSC-K); SCPS-55017(NTSC-J); SLAJ-25073(NTSC-J); SLKA-25043(NTSC-K); SLKA-25188(NTSC-K); SLKA-25287(NTSC-K); SLKA-25289(NTSC-K); SLKA-25329(NTSC-K); SLKA-25339(NTSC-K); SLKA-25340(NTSC-K); SLKA-25417(NTSC-K); SLPM-55140(NTSC-J); SLPM-60197(NTSC-J); SLPM-61039(NTSC-J); SLPM-61041(NTSC-J); SLPM-62114(NTSC-J); SLPM-62724(NTSC-J); SLPM-65150(NTSC-J); SLPM-65161(NTSC-J); SLPM-65245(NTSC-J); SLPM-65443(NTSC-J); SLPM-65499(NTSC-J); SLPM-65574(NTSC-J); SLPM-65690(NTSC-J); SLPM-65808(NTSC-J); SLPM-65890(NTSC-J); SLPM-65935(NTSC-J); SLPM-65936(NTSC-J); SLPM-66032(NTSC-J); SLPM-66101(NTSC-J); SLPM-66213(NTSC-J); SLPM-66250(NTSC-J); SLPM-66369(NTSC-J); SLPM-66420(NTSC-J); SLPM-66576(NTSC-J); SLPM-66579(NTSC-J); SLPM-66580(NTSC-J); SLPM-66693(NTSC-J); SLPM-66728(NTSC-J); SLPM-66951(NTSC-J); SLPM-66952(NTSC-J); SLPM-66978(NTSC-J); SLPM-74003(NTSC-J); SLPM-74229(NTSC-J); SLPM-74236(NTSC-J); SLPM-74250(NTSC-J); SLPM-74262(NTSC-J); SLPM-74278(NTSC-J); SLPM-74279(NTSC-J); SLPM-74288(NTSC-J); SLPS-20223(NTSC-J); SLPS-20332(NTSC-J); SLPS-20365(NTSC-J); SLPS-20460(NTSC-J); SLPS-25100(NTSC-J); SLPS-25210(NTSC-J); SLPS-25263(NTSC-J); SLPS-25309(NTSC-J); SLPS-25376(NTSC-J); SLPS-25571(NTSC-J); SLPS-25704(NTSC-J); SLPS-73209(NTSC-J); SLPS-73423(NTSC-J)
