TITLE	PATCHED_SIBLING_SERIALS	UNPATCHED_NTSC_SERIALS
DreamWorks Madagascar	SLES-53225(PAL-E); SLES-53246(PAL-S)	SLUS-21015(NTSC-U)
DreamWorks Madagascar 2 - Escape 2 Africa	SLES-55374(PAL-M6)	SLUS-21840(NTSC-U)
DreamWorks Shrek the Third	SLES-54770(PAL-E); SLES-54771(PAL-M5); SLES-54774(PAL-M5)	SLUS-21454(NTSC-U)
Driver - Parallel Lines [Demo]	SLES-53556(PAL-M3); SLES-54027(PAL-M3)	SLUS-21271(NTSC-U); SLUS-21399(NTSC-U); SLUS-29185(NTSC-U)
Driving Emotion Type-S	SLUS-20113(NTSC-U)	SLPS-20007(NTSC-J)
EXTERMINATION [体験版]	SCUS-97112(NTSC-U)	PAPX-90211(NTSC-J); SCPS-15011(NTSC-J); SCPS-19202(NTSC-J); SCUS-97160(NTSC-U)
Enthusia Professional Racing [Demo]	SLPM-65948(NTSC-J); SLUS-20967(NTSC-U)	SLPM-61110(NTSC-J); SLPM-66257(NTSC-J); SLUS-29151(NTSC-U)
Fantastic 4	SLES-53145(PAL-G); SLES-53281(PAL-NL)	SLUS-20615(NTSC-U)
Fantavision [体験版]	SCUS-97105(NTSC-U)	PCPX-96302(NTSC-J); SCPS-11002(NTSC-J); SCPS-15030(NTSC-J)
Ferrari Challenge - Trofeo Pirelli	SLES-55294(PAL-M5)	SLUS-21780(NTSC-U)
Final Fantasy X [Demo] [Final Fantasy VI PS1 - Bonus Disc]	SCES-50490(PAL-E); SCES-50492(PAL-G)	SLUS-20312(NTSC-U)
Futurama	SLES-51507(PAL-M5)	SLUS-20439(NTSC-U)
GENJI [体験版]	SCPS-15095(NTSC-J)	PAPX-90522(NTSC-J); SCPS-19318(NTSC-J)
GRAN TURISMO 3 - A-Spec - オートバックス限定リプレイシアター	PBPX-95503(NTSC-U); SCES-50294(PAL-M5); SCUS-97102(NTSC-U)	PAPX-90207(NTSC-J); PAPX-90208(NTSC-J); PBPX-95502(NTSC-J); PCPX-96312(NTSC-J); SCPS-55007(NTSC-J); SCUS-97115(NTSC-U); SCUS-97512(NTSC-U)
GRAN TURISMO 4 - オンライン実験バージョン	SCES-51719(PAL-M5); SCUS-97328(NTSC-U); SCUS-97436(NTSC-U)	PAPX-90523(NTSC-J); PBPX-95601(NTSC-J); PCPX-96649(NTSC-J); SCAJ-30006(NTSC-J); SCPS-17001(NTSC-J); SCPS-19252(NTSC-J); SCUS-90682(NTSC-U); SCUS-97563(NTSC-U)
GRAN TURISMO Concept 2001 Tokyo	SCPS-15010(NTSC-J)	PCPX-96624(NTSC-J); SCPS-19208(NTSC-J); SCPS-55005(NTSC-J)
Gadget Racers	SLES-51911(PAL-M5)	SLUS-20225(NTSC-U)
Genji - Dawn of the Samurai	SCUS-97471(NTSC-U)	SCUS-97504(NTSC-U)
Ghost Rider	SLES-54317(PAL-M5)	SLUS-21306(NTSC-U)
God Hand	SLUS-21503(NTSC-U)	SLPM-66550(NTSC-J); SLPM-74241(NTSC-J)
Gran Turismo - Concept 2002 Tokyo-Geneva	SCES-50858(PAL-M6)	SCPS-55902(NTSC-J); SCPS-55903(NTSC-J)
Grand Theft Auto - Vice City	SLES-51061(PAL-M5)	SLUS-20552(NTSC-U)
Guitar Hero II [Demo]	SLUS-21447(NTSC-U)	SLUS-29198(NTSC-U)
Gungrave	SLPM-65153(NTSC-J); SLUS-20493(NTSC-U)	SLPM-60184(NTSC-J); SLPM-65152(NTSC-J); SLPM-65502(NTSC-J); SLUS-28015(NTSC-U)
Hot Shots Golf Fore!	SCUS-97401(NTSC-U)	SCUS-97427(NTSC-U); SCUS-97430(NTSC-U); SCUS-97515(NTSC-U)
Hot Shots Tennis	SCUS-97610(NTSC-U)	SCUS-97619(NTSC-U)
ICO [体験版]	SCES-50760(PAL-M5); SCPS-11003(NTSC-J); SCPS-19103(NTSC-J); SCUS-97113(NTSC-U)	PCPX-96322(NTSC-J); SCPS-19151(NTSC-J); SCPS-55001(NTSC-J); SCUS-97159(NTSC-U)
Jade Cocoon 2	SLES-50735(PAL-E)	SLUS-20309(NTSC-U)
Jak 3 [Demo]	SCES-52460(PAL-M7)	SCUS-97330(NTSC-U); SCUS-97412(NTSC-U); SCUS-97516(NTSC-U)
Jak and Daxter - The Lost Frontier	SCES-55510(PAL-M12)	SCUS-97558(NTSC-U)
Jak and Daxter - The Precursor Legacy [Demo]	SCES-50361(PAL-M6); SCUS-97124(NTSC-U)	SCUS-97170(NTSC-U); SCUS-97171(NTSC-U)
Just Cause	SLES-54137(PAL-M3)	SLUS-21436(NTSC-U)
KAIDO ～峠の伝説～ [体験版]	SLPM-66022(NTSC-J)	SLPM-61121(NTSC-J)
Killzone [Demo]	SCUS-97402(NTSC-U)	SCUS-97432(NTSC-U); SCUS-97517(NTSC-U)
Kinetica	SCUS-97132(NTSC-U)	SCUS-97161(NTSC-U)
King's Field IV - The Ancient City	SLUS-20318(NTSC-U)	SLUS-20353(NTSC-U)
Klonoa 2 - Lunatea's Veil	SLUS-20151(NTSC-U)	SLUS-28004(NTSC-U)
Lara Croft Tomb Raider - Anniversary	SLES-54674(PAL-M10)	SLUS-21555(NTSC-U)
Lemony Snicket's A Series of Unfortunate Events	SLES-52807(PAL-E)	SLUS-21078(NTSC-U)
Looney Tunes - ACME Arsenal	SLES-54931(PAL-M5)	SLUS-21636(NTSC-U)
MARVEL VS. CAPCOM2 New Age of Heroes [体験版]	SLPM-62227(NTSC-J)	SLPM-60188(NTSC-J)
Max Payne	SLES-50325(PAL-E); SLES-50326(PAL-M4)	SLPS-25244(NTSC-J); SLUS-20230(NTSC-U)
Max Payne 2 - The Fall of Max Payne	SLES-51954(PAL-E); SLES-52256(PAL-E-S); SLES-52336(PAL-E-G); SLES-52337(PAL-E-F); SLES-52338(PAL-E-I)	SLUS-20814(NTSC-U)
Monster House	SLES-54215(PAL-M4)	SLUS-21400(NTSC-U)
MotoGP	SLUS-20058(NTSC-U)	SLPS-20040(NTSC-J)
MotoGP 2	SLUS-20285(NTSC-U)	SCPS-51001(NTSC-J); SLPS-20155(NTSC-J)
MotoGP 3	SLUS-20625(NTSC-U)	SLPM-60198(NTSC-J); SLPS-25204(NTSC-J)
NAMCO×CAPCOM	SLPS-25505(NTSC-J)	SLPS-73243(NTSC-J)
NBA Live 06	SLES-53547(PAL-M3); SLES-53580(PAL-F); SLES-53581(PAL-S)	SLPM-66171(NTSC-J); SLPM-66561(NTSC-J); SLUS-21279(NTSC-U); SLUS-29162(NTSC-U)
NBA Live 07	SLES-54250(PAL-F); SLES-54251(PAL-S); SLES-54252(PAL-M3)	SLPM-66589(NTSC-J); SLUS-21460(NTSC-U)
NBA Live 08	SLES-54895(PAL-M3); SLES-54896(PAL-F); SLES-54933(PAL-S)	SLPM-55144(NTSC-J); SLPM-66884(NTSC-J); SLUS-21649(NTSC-U)
NBA Live 09	SLES-55334(PAL-E-I-A); SLES-55336(PAL-F); SLES-55337(PAL-S)	SLPM-55097(NTSC-J); SLUS-21777(NTSC-U)
NBA Live 2003	SLES-51198(PAL-M5)	SLPM-65192(NTSC-J); SLPS-25168(NTSC-J); SLUS-20536(NTSC-U)
NBA Live 2004	SLES-52008(PAL-M5)	SLPM-65666(NTSC-J); SLPS-25297(NTSC-J); SLUS-20755(NTSC-U)
NBA Live 2005	SLES-52713(PAL-M3); SLES-52726(PAL-F); SLES-52727(PAL-S)	SLPM-65787(NTSC-J); SLPM-66116(NTSC-J); SLUS-21058(NTSC-U)
NBA Street V3	SLES-53001(PAL-M3)	SLPM-66021(NTSC-J); SLUS-21126(NTSC-U); SLUS-29141(NTSC-U)
NEOGEOオンラインコレクション Vol.3 THE KING OF FIGHTERS ～オロチ編～ [NEOGEO STICK3同梱限定版]	SLPS-25605(NTSC-J)	SLPS-25535(NTSC-J)
